name,market,funding_total_usd,status,country_code,state_code,city,funding_rounds,founded_at,first_funding_at,last_funding_at
FitBionic,Biotechnology,2200000,operating,USA,CO,Boulder,1,2010-10-10,2013-08-08,2013-08-08
Fliptu,Social Media,2200000,operating,USA,CA,Los Angeles,4,2015-04-17,2012-03-01,2015-04-08
FonJax,Consulting,2200000,operating,USA,CA,Walnut Creek,1,2013-06-05,2007-04-10,2007-04-10
Force Therapeutics,Health and Wellness,2200000,operating,USA,NY,New York,1,2011-07-01,2015-02-03,2015-02-03
FundThrough,Financial Services,2200000,operating,USA,CA,Ontario,1,2013-04-01,2015-02-24,2015-02-24
Geekatoo,Local Search,2200000,operating,USA,CA,Mountain View,3,2015-06-06,2013-04-24,2014-07-30
Gojimo,Education,2200000,operating,GBR,,London,2,2007-07-01,2013-11-30,2014-01-30
Goo Technologies,Software,2200000,operating,SWE,,Stockholm,2,,2013-08-21,2015-01-16
GridCraft,Big Data Analytics,2200000,operating,USA,CO,Boulder,1,2009-01-01,2014-08-07,2014-08-07
GroSocial,Software,2200000,acquired,USA,UT,Orem,3,2008-12-01,2011-10-19,2012-06-05
Guangzhou Broad Vision Telecom,Web Hosting,2200000,closed,CHN,,Guangzhou,1,2008-04-28,2009-06-17,2009-06-17
Hop,Email,2200000,operating,,,,2,1998-01-01,2013-06-30,2014-10-30
Hope Foods,Specialty Foods,2200000,operating,USA,KY,Louisville,1,2011-01-01,2015-08-11,2015-08-11
HotDoc,Web Hosting,2200000,operating,AUS,,Melbourne,1,2012-01-01,2015-08-06,2015-08-06
Houston Medical Robotics,Health Care,2200000,operating,USA,TX,Houston,1,2012-03-01,2012-03-06,2012-03-06
Image Engine Design,Games,2200000,operating,CAN,BC,Vancouver,1,1998-01-01,2009-12-23,2009-12-23
ISI Technology,Hardware + Software,2200000,operating,USA,SC,Charleston,4,2012-10-01,2012-03-10,2014-08-12
ISOThrive,Nutrition,2200000,operating,USA,CA,California City,2,2007-01-01,2014-10-21,2015-07-25
